year,playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,teams,pointsPlayed,oPointsPlayed,dPointsPlayed,minutesPlayed,possessions,oEfficiency,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage
2012,dhassell,Dan Hassell,9,2.0,1.22,0.78,1.33,9.44,100.0,0.0,1.0,0.0,0.22,0.56,0.0,0.0,ROC,,,,,,,,,,,
2012,htreegoob,Harrison Treegoob,12,1.75,0.83,0.92,1.33,6.0,85.71,0.0,1.0,0.0,0.33,0.92,0.0,0.0,PHS,,,,,,,,,,,
2012,mbaum,Matt Baum,9,2.78,1.78,1.0,1.33,19.0,90.48,0.0,2.0,0.0,0.11,0.67,0.0,0.0,CON,,,,,,,,,,,
2012,sthor,Steven Thor,9,1.0,0.56,0.44,1.33,1.44,,0.0,0.22,0.0,0.0,0.56,0.0,0.0,PHS,,,,,,,,,,,
2012,ajohnston,Adam Johnston,13,2.85,1.23,1.62,1.31,10.08,87.92,0.0,1.38,0.0,0.46,0.31,0.0,0.0,RIR,,,,,,,,,,,
2012,dlatz,Dan Latz,10,1.4,0.7,0.7,1.3,5.1,86.44,0.0,0.8,0.0,0.1,0.8,0.0,0.0,IND,,,,,,,,,,,
2012,jbeaulieu,Josh Beaulieu,10,1.8,0.6,1.2,1.3,5.2,89.66,0.0,0.6,0.0,0.3,0.4,0.0,0.0,RIR,,,,,,,,,,,
2012,shenderso,Samuel Henderson,10,1.5,1.4,0.1,1.3,6.6,88.0,0.0,0.9,0.0,0.2,0.9,0.0,0.0,RIR,,,,,,,,,,,
2012,zsmith,Zack Smith,10,2.0,1.2,0.8,1.3,12.4,96.12,0.0,1.4,0.0,0.1,0.8,0.0,0.0,ROC,,,,,,,,,,,
2012,mgroeber,Michael Groeber,11,2.0,1.55,0.45,1.27,7.36,87.1,0.0,1.09,0.0,0.09,0.45,0.0,0.0,CLB,,,,,,,,,,,
2012,nhirannet,Nick Hirannet,15,3.33,2.2,1.13,1.27,17.13,90.18,0.0,1.87,0.0,0.6,0.4,0.0,0.0,PHS,,,,,,,,,,,
2012,adelreal,Aaron Del Real,8,1.88,0.63,1.25,1.25,10.75,96.63,0.0,1.25,0.0,0.63,1.25,0.0,0.0,DET,,,,,,,,,,,
2012,bsage,Ben Sage,8,1.0,0.38,0.63,1.25,4.25,89.47,0.0,0.5,0.0,0.0,0.75,0.0,0.0,CLB,,,,,,,,,,,
2012,gmisleh,Gus Misleh,8,1.0,0.25,0.75,1.25,3.38,87.1,0.0,0.5,0.0,0.13,0.88,0.0,0.0,CLB,,,,,,,,,,,
2012,jellwood,Jesse Ellwood,9,1.67,0.56,1.11,1.22,4.11,86.05,0.0,0.67,0.0,0.22,0.44,0.0,0.0,DET,,,,,,,,,,,
2012,mmeilstru,Michael Meilstrup,9,1.0,0.44,0.56,1.22,0.0,,0.0,0.0,0.0,0.0,0.22,0.0,0.0,CLB,,,,,,,,,,,
2012,aedinger,Alex Edinger,15,3.07,2.07,1.0,1.2,12.93,87.0,0.0,1.93,0.0,0.6,0.67,0.0,0.0,DET,,,,,,,,,,,
2012,dstoddard,David Stoddard,10,1.8,0.8,1.0,1.2,7.4,90.24,0.0,0.8,0.0,0.3,0.5,0.0,0.0,PHS,,,,,,,,,,,
2012,jhighsmit,James Highsmith,5,0.6,0.2,0.4,1.2,0.0,,0.0,0.0,0.0,0.0,0.6,0.0,0.0,DET,,,,,,,,,,,
2012,jkula,Jeff Kula,5,1.0,0.6,0.4,1.2,1.2,,0.0,0.2,0.0,0.0,0.4,0.0,0.0,CLB,,,,,,,,,,,
2012,edixon,Eric Dixon,6,0.83,0.17,0.67,1.17,1.33,,0.0,0.17,0.0,0.0,0.5,0.0,0.0,ROC,,,,,,,,,,,
2012,khanzel,Kevin Hanzel,7,1.29,0.57,0.71,1.14,8.71,96.83,0.0,1.0,0.0,0.14,1.0,0.0,0.0,CIN,,,,,,,,,,,
2012,sdoherty,Shaun Doherty,7,0.71,0.14,0.57,1.14,5.57,88.64,0.0,0.71,0.0,0.0,1.14,0.0,0.0,RIR,,,,,,,,,,,
2012,frobinson,Franklyn Robinson,8,0.88,0.0,0.88,1.13,4.13,89.19,0.0,0.5,0.0,0.0,0.75,0.0,0.0,CIN,,,,,,,,,,,
2012,kkula,Kevin Kula,9,1.44,0.0,1.44,1.11,2.33,87.5,0.0,0.33,0.0,0.11,0.11,0.0,0.0,CLB,,,,,,,,,,,
2012,agrintsva,Alex Grintsvayg,10,1.3,0.5,0.8,1.1,7.3,89.02,0.0,0.9,0.0,0.1,0.8,0.0,0.0,PHS,,,,,,,,,,,
2012,ccobb,Chip Cobb,10,1.3,0.5,0.8,1.1,6.3,87.5,0.0,0.9,0.0,0.1,0.8,0.0,0.0,RIR,,,,,,,,,,,
2012,jtaris,Joe Taris,11,2.09,1.45,0.64,1.09,12.36,87.74,0.0,1.73,0.0,0.27,1.0,0.0,0.0,CLB,,,,,,,,,,,
2012,bjones,Brad Jones,1,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLB,,,,,,,,,,,
2012,bweyers,Ben Weyers,7,1.29,0.29,1.0,1.0,3.14,95.65,0.0,0.43,0.0,0.0,0.14,0.0,0.0,CON,,,,,,,,,,,
2012,cbilodeau,Colin Bilodeau,1,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DET,,,,,,,,,,,
2012,dlipson,Dave Lipson,8,1.0,0.63,0.38,1.0,5.38,89.58,0.0,0.63,0.0,0.13,0.75,0.0,0.0,RIR,,,,,,,,,,,
2012,gsanti,Garrett Santi,6,1.33,0.17,1.17,1.0,6.33,90.48,0.0,0.83,0.0,0.33,0.83,0.0,0.0,CON,,,,,,,,,,,
2012,jbotti,Josh Botti,5,0.6,0.4,0.2,1.0,3.0,,0.0,0.4,0.0,0.0,0.8,0.0,0.0,CLB,,,,,,,,,,,
2012,jramerman,John Ramerman,5,0.6,0.0,0.6,1.0,1.8,,0.0,0.2,0.0,0.0,0.6,0.0,0.0,ROC,,,,,,,,,,,
2012,jyoder,Jason Yoder,10,2.1,1.8,0.3,1.0,13.6,96.45,0.0,1.5,0.0,0.6,1.0,0.0,0.0,IND,,,,,,,,,,,
2012,mjuratova,Michael Juratovac,1,0.0,0.0,0.0,1.0,18.0,90.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,CIN,,,,,,,,,,,
2012,mserota,Michael Serota,1,1.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,,,,,,,,,,,
2012,mtomasko,Matt Tomasko,7,0.86,0.29,0.57,1.0,1.86,,0.0,0.29,0.0,0.0,0.43,0.0,0.0,CON,,,,,,,,,,,
2012,mgallin,Matthew Gallin,11,2.18,1.45,0.73,0.91,11.64,85.91,0.0,1.91,0.0,0.55,1.18,0.0,0.0,PHS,,,,,,,,,,,
2012,cgallaghe,Chris Gallagher,9,1.78,1.33,0.44,0.89,17.0,98.08,0.0,2.11,0.0,0.89,2.11,0.0,0.0,CIN,,,,,,,,,,,
2012,jserafini,John Serafini,9,1.89,1.0,0.89,0.89,9.11,98.8,0.0,1.0,0.0,0.44,0.44,0.0,0.0,ROC,,,,,,,,,,,
2012,elewis,Eric Lewis,8,1.38,0.38,1.0,0.88,10.0,100.0,0.0,1.25,0.0,0.13,0.88,0.0,0.0,IND,,,,,,,,,,,
2012,rwharton,Rob Wharton,8,1.0,0.38,0.63,0.88,4.5,85.71,0.0,0.75,0.0,0.0,0.63,0.0,0.0,CIN,,,,,,,,,,,
2012,acorley,Aaron Corley,7,0.57,0.14,0.43,0.86,3.43,88.89,0.0,0.43,0.0,0.0,0.71,0.0,0.0,CIN,,,,,,,,,,,
2012,dwolff,Dylan Wolff,7,1.0,0.86,0.14,0.86,6.0,87.5,0.0,0.86,0.0,0.0,0.71,0.0,0.0,RIR,,,,,,,,,,,
2012,kkelly,Kieran Kelly,7,1.0,0.57,0.43,0.86,2.43,,0.0,0.29,0.0,0.14,0.29,0.0,0.0,CLB,,,,,,,,,,,
2012,jcormier,Jake Cormier,6,0.67,0.0,0.67,0.83,3.0,90.0,0.0,0.33,0.0,0.0,0.5,0.0,0.0,RIR,,,,,,,,,,,
2012,kchu,Kevin Chu,9,1.33,0.56,0.78,0.78,4.67,91.3,0.0,0.67,0.0,0.22,0.33,0.0,0.0,IND,,,,,,,,,,,
2012,manderson,Matt Anderson,4,0.5,0.0,0.5,0.75,0.0,,0.0,0.0,0.0,0.0,0.25,0.0,0.0,ROC,,,,,,,,,,,
2012,ykubo,Yuri Kubo,4,0.75,0.0,0.75,0.75,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,,,,,,,,,,,
2012,aengel,Austin Engel,7,0.57,0.14,0.43,0.71,5.0,89.74,0.0,0.57,0.0,0.0,0.71,0.0,0.0,DET,,,,,,,,,,,
